name,latitude,longitude,empty_slots,free_bikes,banking,ebikes,last_updated,payment-terminal,renting,returning,slots,uid,timestamp,occupancy_rate
Benjamin Godard - Victor Hugo,48.865983,2.275725,24,11,False,8,1970-01-01 00:00:01.697701920+00:00,False,1,1,35,16107,2023-10-19 08:13:58.839000+00:00,68.57142857142857
André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,38,16,True,7,1970-01-01 00:00:01.697702205+00:00,True,1,1,55,6015,2023-10-19 08:13:58.717000+00:00,69.0909090909091
Faubourg Du Temple - Republique,48.867872484749,2.3648982158072,33,2,True,0,1970-01-01 00:00:01.697702231+00:00,True,1,1,38,11037,2023-10-19 08:13:57.001000+00:00,86.8421052631579
Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,6,13,True,6,1970-01-01 00:00:01.697702167+00:00,True,1,1,20,6021,2023-10-19 08:13:57.772000+00:00,30.0
Toudouze - Clauzel,48.87929591733507,2.3373600840568547,18,3,True,3,1970-01-01 00:00:01.697701845+00:00,True,1,1,21,9020,2023-10-19 08:13:57.860000+00:00,85.71428571428571
Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,17,2,False,1,1970-01-01 00:00:01.697702163+00:00,False,1,1,20,11104,2023-10-19 08:13:58.523000+00:00,85.0
Mairie du 12ème,48.840855311763,2.3875549435616,29,1,False,1,1970-01-01 00:00:01.697702128+00:00,False,1,1,30,12109,2023-10-19 08:13:56.879000+00:00,96.66666666666667
Square Boucicaut,48.85129643366528,2.325061820447445,17,41,True,21,1970-01-01 00:00:01.697702230+00:00,True,1,1,60,7003,2023-10-19 08:13:58.681000+00:00,28.333333333333332
Harpe - Saint-Germain,48.851518815017,2.3436703160405,37,5,True,2,1970-01-01 00:00:01.697702174+00:00,True,1,1,45,5001,2023-10-19 08:13:58.809000+00:00,82.22222222222221
Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,35,4,True,0,1970-01-01 00:00:01.697702069+00:00,True,1,1,40,17026,2023-10-19 08:13:58.527000+00:00,87.5
Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,33,0,True,0,1970-01-01 00:00:01.697701696+00:00,True,1,1,36,17041,2023-10-19 08:13:57.567000+00:00,91.66666666666666
Alibert - Jemmapes,48.871044051984,2.3661044619878,52,3,True,1,1970-01-01 00:00:01.697702121+00:00,True,1,1,60,10013,2023-10-19 08:13:57.389000+00:00,86.66666666666667
